WHO Region,Country Code,WHO Country Name,Location,Year,PM2.5 (μg/m3),PM10 (μg/m3),NO2 (μg/m3),Reference
European Region,AUT,Austria,Wolfsberg,2019,12.83,19.77,22.0,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Antwerpen,2010,19.81,28.27,38.66,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Brussels,2010,20.94,28.09,40.02,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bruxelles/Brussel,2010,16.98,27.06,29.79,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Charleroi,2010,16.39,24.18,31.07,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Corroy Le Grand,2010,15.21,20.89,23.0,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Engis,2010,15.77,24.39,23.83,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Evergem,2010,20.34,31.22,27.98,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Gent,2010,20.52,31.25,30.05,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Habay La Neuve,2010,11.8,16.23,12.71,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Hasselt,2010,20.52,23.74,28.66,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Liege,2010,14.85,27.03,30.09,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mons,2010,14.81,23.87,30.73,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Seraing,2010,17.0,25.6,31.43,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Somme-Leuze,2010,12.67,17.61,15.9,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Steenokkerzeel,2010,15.51,24.43,29.41,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Veurne,2010,17.47,25.84,15.83,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Vielsalm,2010,10.17,14.68,8.2,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Viroinval,2010,11.2,16.29,9.0,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Andenne,2013,12.59,18.36,14.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Antwerpen,2013,17.05,27.04,37.68,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Baelen,2013,12.41,17.99,12.51,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Berchem-Sainte-Agathe,2013,17.71,21.76,26.61,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bertrix,2013,10.3,14.92,7.66,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bruxelles,2013,16.93,28.4,36.87,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Charleroi,2013,14.57,22.99,29.05,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Chaumont-Gistoux,2013,14.73,20.4,20.96,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Engis,2013,17.27,30.94,20.99,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Evergem,2013,19.1,30.22,27.05,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Gent,2013,18.96,29.86,26.5,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Habay,2013,10.7,15.23,10.95,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Hasselt,2013,17.67,23.62,24.56,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Herstal,2013,13.38,20.41,29.17,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Liege,2013,14.56,22.27,28.43,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Molenbeek-Saint-Jean,2013,20.38,25.35,42.11,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mons,2013,15.59,27.94,29.24,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Sainte-Ode,2013,9.47,12.87,8.41,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Seraing,2013,15.56,24.58,27.89,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Somme-Leuze,2013,11.15,16.29,11.92,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Stabroek,2013,17.71,26.32,31.02,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Tournai,2013,14.36,21.1,15.86,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Uccle,2013,19.29,27.69,26.29,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Veurne,2013,15.63,23.5,13.61,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Vielsalm,2013,9.1,13.5,7.12,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Viroinval,2013,10.14,14.8,7.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Andenne,2014,8.91,14.24,11.22,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Antwerpen,2014,15.86,24.68,35.1,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Baelen,2014,10.17,15.86,9.97,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Berchem-Sainte-Agathe,2014,12.94,21.28,23.23,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bertrix,2014,7.99,12.25,6.67,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Beveren,2014,16.9,22.39,28.64,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bruxelles,2014,15.75,27.89,34.68,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Charleroi,2014,11.05,18.47,26.58,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Chaumont-Gistoux,2014,11.27,16.66,16.63,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Dessel,2014,13.05,21.3,18.13,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Engis,2014,15.43,30.35,18.23,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Evergem,2014,15.52,26.21,25.59,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Gent,2014,15.81,26.55,26.55,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Habay,2014,8.0,12.18,9.52,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Hasselt,2014,14.36,21.21,22.83,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Herstal,2014,9.93,16.76,25.89,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Liege,2014,11.16,18.64,24.34,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Molenbeek-Saint-Jean,2014,16.67,26.34,38.68,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mons,2014,10.51,18.61,28.25,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Sainte-Ode,2014,7.17,10.32,6.97,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Schoten,2014,14.63,22.43,27.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Seraing,2014,11.42,19.53,24.86,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Somme-Leuze,2014,8.38,13.21,9.65,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Stabroek,2014,15.79,22.32,28.43,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Tournai,2014,12.04,19.31,13.89,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Uccle,2014,16.99,23.64,21.4,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Veurne,2014,12.82,20.29,11.65,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Vielsalm,2014,7.17,11.71,6.46,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Viroinval,2014,6.91,11.32,5.52,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Aarschot,2015,13.43,20.73,18.68,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Andenne,2015,9.97,16.19,11.93,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Antwerpen,2015,14.11,23.43,33.76,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Baelen,2015,9.43,14.28,10.71,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Berchem-Sainte-Agathe,2015,12.67,19.6,21.67,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bertrix,2015,7.82,12.46,7.04,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Beveren,2015,16.13,24.07,29.19,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Boom,2015,13.81,22.05,22.48,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bruxelles,2015,15.7,24.72,33.86,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Charleroi,2015,12.66,21.72,26.34,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Chaumont-Gistoux,2015,11.35,17.36,17.45,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Damme,2015,11.62,18.7,13.37,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Dessel,2015,12.86,21.72,17.47,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Destelbergen,2015,14.45,22.95,21.59,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Diepenbeek,2015,13.37,21.33,20.93,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Engis,2015,14.28,27.42,18.21,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Evergem,2015,14.43,24.04,24.67,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Gent,2015,14.67,25.16,25.59,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Habay,2015,8.69,13.88,9.32,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Hasselt,2015,13.47,20.92,22.51,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Herstal,2015,11.34,20.19,25.49,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Landen,2015,13.1,20.51,16.63,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Liege,2015,10.61,17.79,23.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mechelen,2015,14.22,22.45,27.15,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Molenbeek-Saint-Jean,2015,14.71,22.14,35.05,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mons,2015,12.55,22.54,26.9,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Roeselare,2015,13.48,22.49,23.14,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Sainte-Ode,2015,7.56,11.37,7.0,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Schoten,2015,13.92,22.14,26.46,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Seraing,2015,12.7,22.4,24.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Somme-Leuze,2015,8.91,14.08,10.1,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Stabroek,2015,15.92,23.89,28.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Steenokkerzeel,2015,13.04,20.75,24.39,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Tournai,2015,11.01,18.1,14.95,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Uccle,2015,14.42,19.74,22.39,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Veurne,2015,10.77,17.6,10.46,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Vielsalm,2015,6.83,11.39,6.48,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Vilvoorde,2015,14.46,24.32,27.73,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Viroinval,2015,8.1,13.13,6.78,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Zelzate,2015,15.43,26.13,26.72,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Zwevegem,2015,14.68,23.33,22.53,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Zwijndrecht,2015,12.99,21.21,28.57,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Aarschot,2016,12.88,19.66,19.5,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Andenne,2016,9.68,15.25,11.9,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Antwerpen,2016,13.91,22.82,34.13,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Baelen,2016,8.52,12.93,10.42,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Berchem-Sainte-Agathe,2016,12.29,16.68,22.07,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bertrix,2016,7.77,11.75,6.6,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Beveren,2016,15.22,22.91,27.68,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Boom,2016,12.9,20.6,23.08,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Bruxelles,2016,15.69,22.72,34.34,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Charleroi,2016,12.67,21.65,26.85,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Chaumont-Gistoux,2016,11.44,17.32,18.6,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Damme,2016,11.99,18.81,14.86,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Dessel,2016,12.26,20.1,18.24,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Destelbergen,2016,14.01,21.94,21.62,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Engis,2016,12.54,23.98,19.07,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Evergem,2016,13.95,23.35,25.12,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Gent,2016,14.7,25.82,26.3,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Habay,2016,8.22,12.65,9.34,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Hasselt,2016,13.03,20.09,23.66,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Herstal,2016,11.14,19.52,26.9,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Landen,2016,13.25,20.99,16.89,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Liege,2016,10.9,18.85,25.15,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mechelen,2016,13.56,21.05,26.61,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Molenbeek-Saint-Jean,2016,16.17,22.72,37.53,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Mons,2016,12.55,21.37,26.5,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Roeselare,2016,14.53,23.68,24.23,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Sainte-Ode,2016,7.22,10.46,7.71,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Schoten,2016,13.78,21.65,26.29,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Seraing,2016,12.55,21.66,25.69,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Somme-Leuze,2016,8.39,13.56,10.27,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Stabroek,2016,14.85,21.14,27.93,European Environment Agency (downloaded in 2021)
European Region,BEL,Belgium,Steenokkerzeel,2016,12.68,21.54,25.2,European Environment Agency (downloaded in 2021)
